title,release_year,rating,num_seasons,is_mature,genre_count,binge_score
Blood & Water,2021,TV-MA,2,1,3,2.1
Ganglands,2021,TV-MA,1,1,3,1.5999999999999999
Jailbirds New Orleans,2021,TV-MA,1,1,2,1.3
Kota Factory,2021,TV-MA,2,1,3,2.1
Midnight Mass,2021,TV-MA,1,1,3,1.5999999999999999
The Great British Baking Show,2021,TV-14,9,0,2,5.1
"Vendetta: Truth, Lies and The Mafia",2021,TV-MA,1,1,3,1.5999999999999999
Bangkok Breaking,2021,TV-MA,1,1,3,1.5999999999999999
Crime Stories: India Detectives,2021,TV-MA,1,1,3,1.5999999999999999
Dear White People,2021,TV-MA,4,1,2,2.8000000000000003
Falsa identidad,2020,TV-MA,2,1,3,2.1
Jaguar,2021,TV-MA,1,1,3,1.5999999999999999
Monsters Inside: The 24 Faces of Billy Milligan,2021,TV-14,1,0,3,1.4
Resurrection: Ertugrul,2018,TV-14,5,0,3,3.4
Love on the Spectrum,2021,TV-14,2,0,3,1.9
Chicago Party Aunt,2021,TV-MA,1,1,1,1.0
Sex Education,2020,TV-MA,3,1,3,2.6
Squid Game,2021,TV-MA,1,1,3,1.5999999999999999
Tayo and Little Wizards,2020,TV-Y7,1,0,1,0.8
Angry Birds,2018,TV-Y7,1,0,2,1.1
Chhota Bheem,2021,TV-Y7,3,0,1,1.8
He-Man and the Masters of the Universe,2021,TV-Y7,1,0,2,1.1
The Smart Money Woman,2020,TV-MA,1,1,3,1.5999999999999999
Castle and Castle,2021,TV-MA,2,1,2,1.8
Dharmakshetra,2014,TV-PG,1,0,3,1.4
Nailed It,2021,TV-PG,6,0,1,3.3
Numberblocks,2021,TV-Y,6,0,1,3.3
Raja Rasoi Aur Anya Kahaniyan,2014,TV-G,1,0,2,1.1
Saved by the Bell,1994,TV-PG,9,0,2,5.1
Stories by Rabindranath Tagore,2015,TV-PG,1,0,2,1.1
Too Hot To Handle: Latino,2021,TV-MA,1,1,3,1.5999999999999999
Jack Whitehall: Travels with My Father,2021,TV-MA,5,1,3,3.6
The World's Most Amazing Vacation Rentals,2021,TV-PG,2,0,1,1.3
Yowamushi Pedal,2013,TV-14,1,0,2,1.1
Lucifer,2021,TV-14,6,0,3,3.9
Metal Shop Masters,2021,TV-MA,1,1,1,1.0
Pokémon Master Journeys: The Series,2021,TV-Y7,1,0,2,1.1
Titipo Titipo,2019,TV-Y,2,0,2,1.6
Mighty Raju,2017,TV-Y7,4,0,1,2.3
Into the Night,2021,TV-MA,2,1,3,2.1
The Circle,2021,TV-MA,3,1,1,2.0
Kid Cosmic,2021,TV-Y7,2,0,3,1.9
Octonauts: Above & Beyond,2021,TV-Y,1,0,2,1.1
On the Verge,2021,TV-MA,1,1,2,1.3
Tobot Galaxy Detectives,2019,TV-Y7,2,0,1,1.3
Countdown: Inspiration4 Mission to Space,2021,TV-14,1,0,2,1.1
Tayo the Little Bus,2016,TV-Y,2,0,2,1.6
Bunk'd,2021,TV-G,5,0,2,3.1
Dive Club,2021,TV-G,1,0,3,1.4
La casa de papel,2021,TV-MA,5,1,3,3.6
Money Heist: From Tokyo to Berlin,2021,TV-MA,1,1,3,1.5999999999999999
Sharkdog,2021,TV-Y,1,0,1,0.8
Heroes of Goo Jit Zu,2021,TV-Y7,1,0,2,1.1
Hotel Del Luna,2019,TV-14,1,0,3,1.4
Luv Kushh,2012,TV-Y7,1,0,1,0.8
Pororo - The Little Penguin,2013,TV-Y7,3,0,2,2.1
Q-Force,2021,TV-MA,1,1,3,1.5999999999999999
Brave Animated Series,2021,TV-MA,1,1,3,1.5999999999999999
How to Be a Cowboy,2021,TV-PG,1,0,1,0.8
HQ Barbers,2020,TV-14,1,0,1,0.8
Kid-E-Cats,2016,TV-Y,2,0,1,1.3
Kuroko's Basketball,2015,TV-MA,3,1,3,2.6
Major Dad,1992,TV-PG,4,0,1,2.3
Oldsters,2019,TV-MA,1,1,3,1.5999999999999999
Turning Point: 9/11 and the War on Terror,2021,TV-14,1,0,1,0.8
Sparking Joy,2021,TV-PG,1,0,1,0.8
Hometown Cha-Cha-Cha,2021,TV-14,1,0,3,1.4
The Ingenuity of the Househusband,2021,TV-G,1,0,2,1.1
Bread Barbershop,2020,TV-Y,2,0,2,1.6
D.P.,2021,TV-MA,1,1,2,1.3
Deadly Sins,2002,TV-MA,1,1,3,1.5999999999999999
I Heart Arlo,2021,TV-Y7,1,0,2,1.1
King of Boys: The Return of the King,2021,TV-MA,1,1,3,1.5999999999999999
Rebellion,2016,TV-MA,2,1,2,1.8
RIDE ON TIME,2021,TV-PG,3,0,2,2.1
Titletown High,2021,TV-14,1,0,2,1.1
EDENS ZERO,2021,TV-14,1,0,2,1.1
Family Reunion,2021,TV-PG,4,0,2,2.6
Clickbait,2021,TV-MA,1,1,3,1.5999999999999999
John of God: The Crimes of a Spiritual Healer,2021,TV-MA,1,1,3,1.5999999999999999
Motel Makeover,2021,TV-14,1,0,2,1.1
Open Your Eyes,2021,TV-MA,1,1,3,1.5999999999999999
Post Mortem: No One Dies in Skarnes,2021,TV-MA,1,1,3,1.5999999999999999
Wheel of Fortune,2019,TV-G,3,0,1,1.8
Oggy Oggy,2021,TV-Y,1,0,2,1.1
Manifest,2021,TV-14,3,0,3,2.4
